prof_id,firstName,lastName,class,num_ratings,avg_quality,avg_difficulty,attendance_mandatory,is_online,would_take_again_pct
VGVhY2hlci0yNzk3NDI5,Joseph,Compton,233,23,3.739,3.783,True,False,100.0
VGVhY2hlci0yNzk3NDI5,Joseph,Compton,MATH381,22,3.364,4.136,True,False,100.0
VGVhY2hlci0yNzk3NDI5,Joseph,Compton,MATH115,7,2,3.857,True,False,100.0
VGVhY2hlci0yNzk3NDI5,Joseph,Compton,MATH232,19,4.579,3.579,True,False,100.0
VGVhY2hlci0yNzk3NDI5,Joseph,Compton,MATH110,4,5,2.25,True,False,100.0
VGVhY2hlci0yMzExMjA5,Cameron,Ballard-Rosa,POLI150,61,4.836,2.557,True,False,100.0
VGVhY2hlci0yMzExMjA5,Cameron,Ballard-Rosa,POLI442,9,4.778,3.111,True,False,100.0
VGVhY2hlci0yMzExMjA5,Cameron,Ballard-Rosa,POLI440,3,4,3.333,True,False,100.0
VGVhY2hlci0yMzExMjA5,Cameron,Ballard-Rosa,POLI453,3,5,3,True,False,100.0
VGVhY2hlci0yNTI3NjY3,Yuliana,Rodriguez V,EDUC181,50,3.38,2.42,True,False,96.55
VGVhY2hlci0yNTI3NjY3,Yuliana,Rodriguez V,EDUC403,14,3.643,2.643,True,False,100.0
VGVhY2hlci0yNTI3NjY3,Yuliana,Rodriguez V,EDUC182,1,1,1,False,False,0.0
VGVhY2hlci0yNTI3NjY3,Yuliana,Rodriguez V,EDUC532,2,4.5,1,True,False,100.0
VGVhY2hlci0xMDQ3OTc4,Ivan,Cherednik,MATH231,4,2.5,3,False,False,100.0
VGVhY2hlci0xMDQ3OTc4,Ivan,Cherednik,MATH231H,1,1,5,False,False,
VGVhY2hlci0xMDQ3OTc4,Ivan,Cherednik,MATH548,13,3.769,3.154,True,False,91.67
VGVhY2hlci0xMDQ3OTc4,Ivan,Cherednik,MATH062H,13,2.769,4,True,False,66.67
VGVhY2hlci0xMDQ3OTc4,Ivan,Cherednik,MATH62H,2,2.5,4,False,False,0.0
VGVhY2hlci0xMDQ3OTc4,Ivan,Cherednik,MATH062H,5,3.2,2.8,True,False,50.0
VGVhY2hlci0xMDQ3OTc4,Ivan,Cherednik,MATH534,1,4,2,False,False,100.0
VGVhY2hlci0xMDQ3OTc4,Ivan,Cherednik,MATH233,3,1,1.667,False,False,
VGVhY2hlci0xMDQ3OTc4,Ivan,Cherednik,MATH64H,1,1,5,False,False,
VGVhY2hlci0xMDQ3OTc4,Ivan,Cherednik,MATH062,1,2,2,False,False,
VGVhY2hlci0zMDMzNzc5,Hanna,Kim,MATH381,12,1.917,4.167,False,False,100.0
VGVhY2hlci0zMDMzNzc5,Hanna,Kim,MATH522,4,3.5,4,False,False,100.0
VGVhY2hlci0zMDMzNzc5,Hanna,Kim,MATH523,9,1.556,4.222,False,False,100.0
VGVhY2hlci0yNzM5MDIx,Ariannah,Kubli,ENGL105,17,4.941,1.412,True,False,100.0
VGVhY2hlci0yNTYwNTMz,Erika,Serrato,FREN255,2,1.5,3,True,False,
VGVhY2hlci0yNTYwNTMz,Erika,Serrato,FREN204,1,2,3,True,False,
VGVhY2hlci0yNTYwNTMz,Erika,Serrato,FREN375,11,2.182,3.273,True,False,100.0
VGVhY2hlci0yNTYwNTMz,Erika,Serrato,FREN262,1,2,2,True,False,
VGVhY2hlci0yNDQxNjE3,Shauna,Cooper,PSYC54,10,4.9,1.2,True,False,100.0
VGVhY2hlci0yNDQxNjE3,Shauna,Cooper,PSYC467,1,5,1,False,False,100.0
VGVhY2hlci0zMTQ4Mjg5,John,Noonan,231,5,2.4,3.8,True,False,100.0
VGVhY2hlci0zMTQ4Mjg5,John,Noonan,130,4,3.25,2.5,False,False,100.0
VGVhY2hlci0zMTQ4Mjg5,John,Noonan,210,1,4,3,False,False,100.0
VGVhY2hlci0yNDYzMTI5,Megan,Winget,INLS-777,1,3,1,True,True,100.0
VGVhY2hlci0yNDYzMTI5,Megan,Winget,INLS697,6,2.167,2.167,True,False,100.0
VGVhY2hlci0yNDYzMTI5,Megan,Winget,INLS201,2,3.5,2,True,False,100.0
VGVhY2hlci0xMDc5MDIw,Cal,Lee,INLS465,3,3,3,True,False,100.0
VGVhY2hlci0xMDc5MDIw,Cal,Lee,INLS200,1,3,4,False,True,
VGVhY2hlci0xMDc5MDIw,Cal,Lee,INLS513,1,2,5,False,False,
VGVhY2hlci0yODYzNDQz,Elliott,Kuecker ,INLS-753,1,5,3,True,False,100.0
VGVhY2hlci0yODYzNDQz,Elliott,Kuecker ,INLS-754,2,5,3,True,False,100.0
VGVhY2hlci0yODYzNDQz,Elliott,Kuecker ,INLS-525,1,5,3,True,True,100.0
VGVhY2hlci0zMDU4MjM1,Dafna,Rachok,ANTH750,1,2,3,True,False,
VGVhY2hlci0yNjE5NzIw,Laura,Ott,BIOL-103,101,3.079,3.802,True,False,100.0
VGVhY2hlci0yNjE5NzIw,Laura,Ott,BIOL252,36,3.556,3.833,True,False,96.0
VGVhY2hlci0yNjE5NzIw,Laura,Ott,BioL103,49,3.959,3.306,True,False,100.0
VGVhY2hlci0yNjE5NzIw,Laura,Ott,BIO252,49,3.551,3.939,True,False,100.0
VGVhY2hlci0yNjE5NzIw,Laura,Ott,BIO101,21,3.81,3.667,True,False,88.24
VGVhY2hlci0yNjE5NzIw,Laura,Ott,BIOL448,10,3.1,4.5,True,False,85.71
VGVhY2hlci0yNjE5NzIw,Laura,Ott,BIO202,9,4.444,3,True,False,88.89
VGVhY2hlci0yNjE5NzIw,Laura,Ott,BIOL202,9,3.778,3.444,True,False,75.0
VGVhY2hlci0yNjE5NzIw,Laura,Ott,BIOL101,29,3.483,3.69,True,False,68.97
VGVhY2hlci0yNjE5NzIw,Laura,Ott,BIOL101H,2,2.5,4,True,False,0.0
VGVhY2hlci0xOTM0NjQ2,Linda,Green,IDST131,12,2.417,3.75,True,False,100.0
VGVhY2hlci0xOTM0NjQ2,Linda,Green,MATH110,13,3.846,3.154,True,False,83.33
VGVhY2hlci0xOTM0NjQ2,Linda,Green,MATH381H,11,4.091,4.545,True,False,100.0
VGVhY2hlci0xOTM0NjQ2,Linda,Green,MATH233,52,4.327,3.654,True,False,86.0
VGVhY2hlci0xOTM0NjQ2,Linda,Green,MATH210,4,3.75,3,True,False,100.0
VGVhY2hlci0xOTM0NjQ2,Linda,Green,MATH130,3,4.667,2.667,True,False,100.0
VGVhY2hlci0xOTM0NjQ2,Linda,Green,MATH232,28,4.607,3.393,True,False,92.0
VGVhY2hlci0xOTM0NjQ2,Linda,Green,MATH231,49,4.204,3.51,True,False,82.5
