prof_id,Instructor_Name,Subject,Catalog Number,num_ratings,avg_quality,avg_difficulty,attendance_mandatory,is_online,would_take_again_pct
VGVhY2hlci04NTg2MjA=,Steve Rogers,BIOL,240,9,2.556,3.667,False,False,100.0
VGVhY2hlci04NTg2MjA=,Steve Rogers,BIOL,447,1,5.0,3.0,True,False,100.0
VGVhY2hlci04NTg2MjA=,Steve Rogers,BIOL,205,5,3.4,3.8,True,False,75.0
VGVhY2hlci04NTg2MjA=,Steve Rogers,BIOL,052,1,4.0,3.0,False,False,
VGVhY2hlci04NTg2MjA=,Steve Rogers,BIOL,52,1,5.0,3.0,False,False,
VGVhY2hlci0yMDgzNjA4,Amy Chambless,ITAL,102,9,4.444,2.111,True,False,88.89
VGVhY2hlci0yMDgzNjA4,Amy Chambless,ITAL,101,8,4.875,1.875,True,False,100.0
VGVhY2hlci0yMDgzNjA4,Amy Chambless,ITAL,203,6,5.0,2.833,True,False,100.0
VGVhY2hlci0yNzU4OTUz,Jeffrey Mittelstadt,BUSI,100,14,2.929,2.071,True,False,100.0
VGVhY2hlci0yNzU4OTUz,Jeffrey Mittelstadt,BUSI,507,8,3.375,3.75,True,False,100.0
VGVhY2hlci0yMTYzNzg=,Jonathan Weiler,GLBL,486,1,4.0,1.0,True,False,100.0
VGVhY2hlci0yMTYzNzg=,Jonathan Weiler,GLBL,210,14,4.714,3.0,True,False,100.0
VGVhY2hlci0yMTYzNzg=,Jonathan Weiler,GLBL,381,1,5.0,1.0,True,False,100.0
VGVhY2hlci0yMTYzNzg=,Jonathan Weiler,GLBL,390,1,4.0,3.0,False,False,
VGVhY2hlci0yMTYzNzg=,Jonathan Weiler,INTS,210,3,4.0,3.667,False,False,
VGVhY2hlci0yMTYzNzg=,Jonathan Weiler,RUES,199,1,5.0,4.0,False,False,
VGVhY2hlci05MTA0MjQ=,Donna Surge,EMES,306,5,5.0,2.4,True,False,100.0
VGVhY2hlci05MTA0MjQ=,Donna Surge,EMES,432,1,5.0,3.0,True,False,100.0
VGVhY2hlci05MTA0MjQ=,Donna Surge,GEOL,202,4,3.75,2.75,True,False,100.0
VGVhY2hlci05MTA0MjQ=,Donna Surge,GEOL,101,1,4.0,3.0,True,False,100.0
VGVhY2hlci05MTA0MjQ=,Donna Surge,GEOL,110,3,2.333,2.667,True,False,
VGVhY2hlci05MTA0MjQ=,Donna Surge,GEOL,412,1,3.0,2.0,False,False,
VGVhY2hlci05MTA0MjQ=,Donna Surge,GEOG,106,1,3.0,5.0,False,False,
VGVhY2hlci0yODUzNDEx,Nikea Pittman,BIOC,107,10,4.6,1.8,True,True,100.0
VGVhY2hlci0yODUzNDEx,Nikea Pittman,BIOC,108,5,4.6,2.8,True,True,100.0
VGVhY2hlci0yOTY2OTAz,Allen Wilson,poli,100,12,4.667,2.083,True,False,100.0
VGVhY2hlci0zMTQxMjAy,Mandy Cooper,,,12,4.833,2.25,True,False,100.0
VGVhY2hlci0zMTQxMjAy,Mandy Cooper,,,1,5.0,3.0,True,False,100.0
VGVhY2hlci0yMDY0MTc5,Daniel Sherman,ARTH,514,1,2.0,4.0,True,False,
VGVhY2hlci0yMDY0MTc5,Daniel Sherman,ARTH,284,1,1.0,5.0,True,False,
VGVhY2hlci0yMDY0MTc5,Daniel Sherman,ARTH,283,5,2.8,4.0,True,False,50.0
VGVhY2hlci0yMDY0MTc5,Daniel Sherman,ARTH,54,5,3.8,3.6,True,False,66.67
VGVhY2hlci0yMDY0MTc5,Daniel Sherman,ARTH,54,1,2.0,4.0,True,False,
VGVhY2hlci0yNjkxMDM2,Adi Nester,GERM,56,7,4.571,2.286,True,False,100.0
VGVhY2hlci0yNjkxMDM2,Adi Nester,GERM,247,3,2.333,3.667,True,False,
VGVhY2hlci0yNjkxMDM2,Adi Nester,GERM,301,3,2.667,3.333,True,False,100.0
VGVhY2hlci0yNjQzMTYw,Ruy Manrique,SOCI,252,3,3.0,2.333,True,False,100.0
VGVhY2hlci0yNjQzMTYw,Ruy Manrique,SOCI,415,6,3.167,3.5,True,False,75.0
VGVhY2hlci0yNjQzMTYw,Ruy Manrique,SOC,415,3,2.667,3.667,True,False,100.0
VGVhY2hlci0yODIyODAy,Marco Duarte,econ-,445,11,3.364,4.455,True,False,100.0
VGVhY2hlci0zMTQyMjAw,Pauline Blaimont,BIOL-,220,5,5.0,2.8,True,False,100.0
VGVhY2hlci0zMTQyMjAw,Pauline Blaimont,BIOL,101,1,5.0,2.0,True,False,100.0
VGVhY2hlci0zMTE5Njg1,Burç Köstem,comm,312,2,5.0,2.5,True,False,100.0
VGVhY2hlci0zMTE5Njg1,Burç Köstem,comm,249,2,4.5,1.5,True,False,100.0
VGVhY2hlci0yOTkxNzM2,Andy Cagle,MEJO-,531,1,5.0,2.0,False,False,100.0
VGVhY2hlci0zMTI5OTQw,Dulcinea  Munoz Gomez,,,1,5.0,2.0,True,False,100.0
VGVhY2hlci0yMjgyNTY5,Alaina Garland,BIOL,103,101,2.614,4.0,True,False,100.0
VGVhY2hlci0yMjgyNTY5,Alaina Garland,BIOL,117,11,3.909,1.273,True,False,88.89
VGVhY2hlci0yMjgyNTY5,Alaina Garland,BIO,240,34,1.794,4.412,True,False,100.0
VGVhY2hlci0yMjgyNTY5,Alaina Garland,BIO,205,12,2.5,4.583,True,False,80.0
VGVhY2hlci0yMjgyNTY5,Alaina Garland,BIO,101,34,3.0,3.912,True,False,53.12
VGVhY2hlci0yMjgyNTY5,Alaina Garland,BIO,202,26,3.538,4.0,True,False,90.0
VGVhY2hlci0yMjgyNTY5,Alaina Garland,BIOL,202,78,3.769,3.731,True,False,75.0
VGVhY2hlci0yMjgyNTY5,Alaina Garland,BIOL,101,82,3.256,3.878,True,False,56.1
VGVhY2hlci0yMjgyNTY5,Alaina Garland,BIOL,205,17,3.588,3.647,True,False,58.82
VGVhY2hlci0yMjgyNTY5,Alaina Garland,BIOL,449,2,3.0,3.5,True,False,50.0
VGVhY2hlci0yMjgyNTY5,Alaina Garland,BIOL,202252,1,5.0,4.0,True,False,100.0
VGVhY2hlci0yMjgyNTY5,Alaina Garland,BIOL,252,19,3.474,3.737,True,False,57.89
