Subject,Catalog Number,Same As,Class Section,Class Number,Description,Term,Hours,Meeting Dates,Schedule,Room,Instruction Type,Instructor,Available Seats
970,,003,2273,Practicum,2026 Summer II,1.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Li,Yao",2
,020,2246,Practicum,2026 Summer II,1.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Olvera-Cravioto,Mariana",2
994,,021,2287,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Zhang,Zhengwu",2
,027,1956,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"SWAMINATHAN,JAYASHANKAR",1
PHYS,114,,001,1088,General Physics I,2026 Summer II,4.0,06/22/2026 - 07/28/2026,MTWTHF 09:00 AM-09:50 AM,Dey Hall-Rm 0206,In Person On Campus Learners,"Castillo Martinez,Victor",45
115,,001,1090,General Physics II,2026 Summer II,4.0,06/22/2026 - 07/28/2026,MTWTHF 09:00 AM-09:50 AM,Gardner Hall-Rm 0105,In Person On Campus Learners,"DRUT,JOAQUIN EMILIANO",108
119,,001,1093,Electromagnetism And Quanta,2026 Summer II,4.0,06/22/2026 - 07/28/2026,MTWTHF 09:00 AM-09:50 AM,Dey Hall-Rm 0203,In Person On Campus Learners,"Lee-Morgan,Heather Lynn",30
293,,001,1905,Undergraduate Internship,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"WU,YUE",1
295,,001,1095,Research With Faculty I,2026 Summer II,1.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Mann,Andrew W",5
,002,1096,Research With Faculty I,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,003,1097,Research With Faculty I,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,004,1098,Research With Faculty I,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,005,1099,Research With Faculty I,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,006,1100,Research With Faculty I,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,007,1101,Research With Faculty I,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,008,1102,Research With Faculty I,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,009,1103,Research With Faculty I,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,010,1104,Research With Faculty I,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,011,1105,Research With Faculty I,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,012,1106,Research With Faculty I,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,013,1107,Research With Faculty I,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,014,1108,Research With Faculty I,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,015,1109,Research With Faculty I,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
395,,001,1110,Research With Faculty II,2026 Summer II,1.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Zhang,Wei",5
,002,1111,Research With Faculty II,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,003,1112,Research With Faculty II,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,004,1113,Research With Faculty II,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,005,1114,Research With Faculty II,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,006,1115,Research With Faculty II,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,007,1116,Research With Faculty II,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,008,1117,Research With Faculty II,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,009,1118,Research With Faculty II,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,010,1119,Research With Faculty II,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,011,1120,Research With Faculty II,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,012,1121,Research With Faculty II,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,013,1122,Research With Faculty II,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,014,1123,Research With Faculty II,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
,015,1124,Research With Faculty II,2026 Summer II,1.0,None,None,None,In Person On Campus Learners,None,5
992,,001,1125,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,002,1126,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,003,1127,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,004,1128,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,005,1129,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,006,1130,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,007,1131,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,008,1132,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,009,1133,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,010,1134,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,011,1135,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,012,1136,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,013,1137,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,014,1138,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,015,1139,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,016,1140,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,017,1141,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,018,1142,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,019,1143,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,020,1144,Master'S (Non-Thesis),2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
994,,001,1145,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"EVANS,CHARLES R",5
,002,1146,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Nicholson,Amy Nicole",5
,003,1147,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"HENNING,REYCO",5
,004,1148,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"DRUT,JOAQUIN EMILIANO",5
,005,1149,Doct Research And Dissertation,2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,006,1150,Doct Research And Dissertation,2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,007,1151,Doct Research And Dissertation,2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,008,1152,Doct Research And Dissertation,2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,009,1153,Doct Research And Dissertation,2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,010,1154,Doct Research And Dissertation,2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,011,1155,Doct Research And Dissertation,2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,012,1156,Doct Research And Dissertation,2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,013,1157,Doct Research And Dissertation,2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,014,1158,Doct Research And Dissertation,2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,015,1159,Doct Research And Dissertation,2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,016,1160,Doct Research And Dissertation,2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,017,1161,Doct Research And Dissertation,2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,018,1162,Doct Research And Dissertation,2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,019,1163,Doct Research And Dissertation,2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
,020,1164,Doct Research And Dissertation,2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,5
COMP,110,,001,1445,Intro Programming,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 08:00 AM-09:30 AM,None,Remote Only - Mostly Async,"Jordan,Kristopher Scott",30
,002,1818,Intro Programming,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 09:45 AM-11:15 AM,None,Remote Only - Mostly Async,"Jordan,Kristopher Scott",30
116,,001,1819,Intro Scientific Prog,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 09:45 AM-11:15 AM,Sitterson Hall (inc-Rm FB007,In Person On Campus Learners,"Munsell,Brent Carl",30
210,,001,2423,Analysis Of Data Structure,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTHF 11:30 AM-01:00 PM,Sitterson Hall (inc-Rm FB009,In Person On Campus Learners,"Kandel,Jade",40
293,,136,1888,Internship In Computer Science,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Nirjon,S M Shahriar",15
301,,001,1846,Structure/Organize Own Code,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTWTH 03:00 PM-05:00 PM,None,Remote Only - Synchronous,"Laney,Mason Mcphail",45
590,,136,2424,Topics Computer Sci,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTTH 03:15 PM-05:50 PM,Sitterson Hall (inc-Rm FB007,In Person On Campus Learners,"Nirjon,S M Shahriar",999
,195,2422,Topics Computer Sci,2026 Summer II,3.0,06/22/2026 - 07/28/2026,MTTH 03:15 PM-05:50 PM,Sitterson Hall (inc-Rm FB009,In Person On Campus Learners,"Sun,Kevin Tang",50
892,,011,1949,Practicum,2026 Summer II,1.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"FUCHS,HENRY",5
,063,2288,Practicum,2026 Summer II,1.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"DEWAN,PRASUN",4
,098,1925,Practicum,2026 Summer II,1.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"NIETHAMMER,MARC",5
,132,2280,Practicum,2026 Summer II,1.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"STURTON,CYNTHIA K",5
,139,1953,Practicum,2026 Summer II,1.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Bansal,Mohit",5
,172,2295,Practicum,2026 Summer II,1.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Szafir,Daniel",5
,175,2270,Practicum,2026 Summer II,1.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Chakravarthula,Praneeth Kumar",5
992,,001,1739,Master'S (Non-Thesis),2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Yao,Huaxiu",10
994,,011,1975,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"FUCHS,HENRY",1
,062,2294,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"ANDERSON,JAMES H",5
,097,1977,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"FRAHM,JAN-MICHAEL",1
,098,1927,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"NIETHAMMER,MARC",5
,137,1741,Doct Research And Dissertation,2026 Summer II,3.0,None,None,None,In Person On Campus Learners,None,3
,144,1994,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Duggirala,Parasara Sridhar",3
,151,1960,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Gotz,David H.",2
,170,1922,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Bertasius,Gediminas",5
,173,1998,Doct Research And Dissertation,2026 Summer II,3.0,06/22/2026 - 07/28/2026,None,None,In Person On Campus Learners,"Szafir,Danielle",5
